,molid,carcinogenic_FM,carcinogenic_FR,carcinogenic_MM,carcinogenic_MR,smiles
0,TR000,1,-1,1,1,ClC(Cl)Cl
1,TR001,1,1,1,1,C12(Cl)C3(Cl)C(=O)C4(Cl)C1(Cl)C5(Cl)C(Cl)(Cl)C2(Cl)C3(Cl)C45Cl
2,TR002,1,-1,1,-1,C(Cl)=C(Cl)Cl
3,TR004,-1,-1,-1,-1,S=P(OC)(OC)SCC(=O)NC
4,TR006a,1,1,1,1,OC(=O)CN(CC(O)=O)CC(O)=O
5,TR006b,-1,0,-1,0,N(CC(=O)O[Na])(CC(=O)O[Na])CC(=O)O[Na]
6,TR007,-1,-1,-1,-1,c1cccc(c1)CCNC(=N)NC(N)=N
7,TR008,1,-1,1,-1,C1(Cl)=C(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl
8,TR009,1,0,1,-1,ClC12C(Cl)=C(Cl)C(Cl)(C3C=CC(Cl)C13)C2(Cl)Cl
9,TR010,-1,-1,-1,-1,P(=O)(OC)(OC)OC=C(Cl)Cl
10,TR011,-1,-1,-1,-1,C(CN(CC(=O)O)CC(=O)O[Na])N(CC(=O)O[Na])CC(=O)O[Na]
11,TR012,-1,-1,-1,-1,C12(Cl)C(Cl)=C(Cl)C(Cl)(C1(Cl)Cl)C3C2C4CC3C5OC45
12,TR013,1,0,1,0,C(Cl)(Cl)=C(Cl)Cl
13,TR014,-1,-1,-1,-1,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
14,TR015,1,-1,1,-1,S(N1C(=O)C2CC=CCC2C1=O)C(Cl)(Cl)Cl
15,TR016,-1,0,-1,0,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC
16,TR017,-1,-1,-1,-1,C12(Cl)C(Cl)C3(Cl)C4C5C1C(C6OC56)C4C2(Cl)C3(Cl)Cl
17,TR019,1,1,1,1,C(=O)(NC(C)C)c1ccc(CNNC)cc1
18,TR020,-1,-1,-1,1,S(=O)(=O)(c1ccc(N)cc1)c2ccc(N)cc2
19,TR021a,-1,0,1,0,C12(Cl)C(Cl)=C(Cl)C(Cl)(C1(Cl)Cl)C3C2C4C=CC3C4
20,TR021b,-1,-1,0,-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
21,TR023,-1,0,-1,-1,C(=O)(O)c1nc(Cl)c(Cl)c(N)c1Cl
22,TR024,-1,-1,-1,-1,C(CC(=O)OCC)(SP(=S)(OC)OC)C(=O)OCC
23,TR025,1,-1,0,-1,c1c(Cl)cc(N)c(Cl)c1C(=O)O
24,TR026,1,1,1,0,c1cc(Cl)cc(Cl)c1Oc2ccc(cc2)[N+](=O)[O-]
25,TR027,1,-1,1,0,C(Cl)(Cl)C(Cl)Cl
26,TR028,1,1,1,1,C(Br)(CBr)CCl
27,TR029,1,1,1,1,[O-][N+](=O)c1c(C)ccc2C(=O)c3ccccc3C(=O)c12
28,TR030,-1,-1,-1,-1,Clc1cc(ccc1N=NC(C(C)=O)C(=O)Nc2ccccc2)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(Cl)c3
29,TR031,-1,-1,-1,-1,O=C(NCCCC)NS(=O)(=O)c1ccc(C)cc1
30,TR032,1,1,-1,-1,C(CCl)N1CCCOP1(=O)NCCCl
31,TR033,1,1,1,-1,O=P(OC)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
32,TR034,1,-1,-1,-1,c1(cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
33,TR035,-1,-1,-1,-1,C(c1ccc(OC)cc1)(c2ccc(OC)cc2)C(Cl)(Cl)Cl
34,TR036,-1,-1,-1,-1,c1cccc(N)c1C(O)=O
35,TR041,-1,1,-1,1,c1(Cl)c(Cl)c(Cl)c(C#N)c(Cl)c1C#N
36,TR042,1,0,0,0,C1(O)C(CO)OC(C1O)N2C=NC(N)=NC2=O
37,TR045,-1,-1,-1,-1,S(=O)(=O)(NC(=O)NCCC)c1ccc(Cl)cc1
38,TR046,-1,-1,-1,-1,C(N)(=S)c1ccnc(CC)c1
39,TR047,1,1,1,1,S(c1ccc(N)cc1)c2ccc(N)cc2
40,TR050,-1,-1,-1,-1,c1cc(ccc1C(C)=O)S(=O)(=O)NC(=O)NC2CCCCC2
41,TR051,-1,-1,-1,-1,S(=O)(=O)(NC(=O)NN1CCCCCC1)c2ccc(C)cc2
42,TR052,-1,-1,-1,0,C(C[N+](=O)[O-])C(=O)O
43,TR053,-1,-1,-1,1,[O-][N+](=O)C1=CN=C(N)S1
44,TR054,-1,1,-1,1,[O-][N+](=O)c1cc(ccc1C)[N+](=O)[O-]
45,TR055,1,1,1,1,ClCCCl
46,TR056,-1,-1,-1,-1,N(C(=S)NC1CCCCC1)C2CCCCC2
47,TR058,1,1,1,1,P(=S)(N1CC1)(N2CC2)N3CC3
48,TR059,1,-1,1,-1,C(=O)(Cc1ccc(cc1)N(CCCl)CCCl)OC2CCC3C4CCc5cc(ccc5C4CCC23C)OC(=O)Cc6ccc(cc6)N(CCCl)CCCl
49,TR060,1,1,1,-1,CC12CCC(OC(=O)Cc3ccc(cc3)N(CCCl)CCCl)CC1=CCC4C2CCC5(C)C(CCC45)C(C)CCCC(C)C
50,TR061,-1,-1,-1,-1,[N+](=O)([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
51,TR062,-1,-1,0,0,C12(Cl)C(Cl)=C(Cl)C(Cl)(C1(Cl)Cl)C3C2COS(=O)OC3
52,TR063,1,1,1,1,Nc1cc(Cl)ccc1N
53,TR064,-1,-1,-1,-1,[O-][N+](=O)c1cccc2ccccc12
54,TR065,-1,0,-1,0,[O-][N+](=O)C(Cl)(Cl)Cl
55,TR068,1,-1,1,-1,C(Cl)(Cl)(Cl)C(Cl)(Cl)Cl
56,TR069,-1,-1,-1,0,S=P(OC)(OC)SCN1N=Nc2ccccc2C1=O
57,TR070,-1,0,-1,0,S=P(OCC)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
58,TR071,-1,-1,-1,-1,O=C(O)C(N)CC1=CNc2ccccc12
59,TR072,1,1,1,1,C(c1ccccc1)N(CCCl)C(C)COc2ccccc2
60,TR074,1,-1,1,-1,ClC(Cl)CCl
61,TR075,1,0,1,0,C(=O)(OCC)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
62,TR076,1,1,1,1,P(=O)(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr
63,TR077,-1,-1,0,-1,C(C)c1nc(N)nc(N)c1c2ccc(Cl)cc2
64,TR078,1,1,-1,-1,C(C(C)N1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
65,TR080,1,1,1,1,C1COCCO1
66,TR081,1,-1,-1,1,P(=O)(OC)(OC)OC
67,TR082,-1,-1,-1,-1,N(c1ccccc1)c2ccc(N)cc2
68,TR083,-1,1,0,-1,CN(C)NC(=O)CCC(O)=O
69,TR084,1,1,1,1,c1cc(OC)c(N)cc1N
70,TR085,1,-1,-1,1,c1cc(Cl)c(N)cc1N
71,TR086,1,1,1,1,C(Br)CBr
72,TR089,1,1,1,1,c1cccc(c1N)OC
73,TR090,-1,-1,1,-1,C(O)(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
74,TR091,-1,0,0,-1,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-]
75,TR092,1,1,-1,1,N(Nc1ccccc1)c2ccccc2
76,TR093,1,1,1,1,C(C)N1c2ccccc2c3cc(N)ccc13
77,TR094,-1,0,-1,1,c1cc(N)cc(c1O)[N+](=O)[O-]
78,TR095,1,0,1,1,ClCc1cccnc1
79,TR096,-1,-1,-1,-1,C1(C)=C(Cl)C(=O)Oc2c1ccc(c2)OP(=S)(OCC)OCC
80,TR098,-1,-1,-1,-1,C(C)(C)C1CCC(C)CC1O
81,TR099,1,1,-1,1,N(=Nc1ccccc1)c2ccc(N)nc2N
82,TR100,1,1,1,1,c1cccc(c1)N(O)N=O
83,TR101,-1,-1,-1,-1,c1cc(ccc1N(C)C)N=NS(=O)(=O)O[Na]
84,TR102,-1,-1,-1,-1,O=S1(=O)CC=CC1
85,TR103,-1,-1,0,-1,S=P(OC)(OC)Oc1ccc(SC)c(C)c1
86,TR104,-1,-1,-1,-1,N(c1nc(Cl)nc(Cl)n1)c2ccccc2Cl
87,TR105,-1,1,0,1,O(C)c1ccc(N)c(C)c1
88,TR106,-1,0,-1,0,FC(Cl)(Cl)Cl
89,TR107,1,-1,1,-1,c1ccc(C)c(N)c1[N+](=O)[O-]
90,TR109,-1,-1,-1,-1,c1ccc(C(=O)O)c(N)c1[N+](=O)[O-]
91,TR110,-1,-1,-1,-1,C(I)(I)I
92,TR111,1,1,-1,1,O=C1c2ccccc2C(=O)c3ccc(C)c(N)c13
93,TR112,-1,-1,1,-1,c1(N)cc(ccc1OCC)NC(C)=O
94,TR113,-1,-1,-1,-1,c1cc(N)cc(Cl)c1N
95,TR114,-1,-1,-1,-1,[O-][N+](=O)c1c(Cl)c(Cl)c(OC)c(Cl)c1Cl
96,TR115,1,1,1,1,N(CC)(CC)C(=S)SCC(=C)Cl
97,TR116,-1,-1,-1,0,c1cc(OC)ccc1N
98,TR117,1,-1,1,-1,[O-][N+](=O)c1ccc2N=CNc2c1
99,TR118,1,1,-1,1,[O-][N+](=O)c1ccc2CCc3cccc1c23
100,TR120,-1,-1,-1,-1,C(OCCOCCOCCCC)c1cc2OCOc2cc1CCC
101,TR121,-1,-1,0,-1,c1cc(ccc1C(=O)OC)C(=O)OC
102,TR122,-1,-1,-1,-1,c12ccccc1Oc3ccccc3O2
103,TR123,-1,-1,0,-1,c12cc(Cl)ccc1Oc3cc(Cl)ccc3O2
104,TR124,-1,-1,1,-1,C(C(C)S(=O)CCCCCCCC)c1ccc2OCOc2c1
105,TR125,-1,-1,-1,-1,C1COC(SP(=S)(OCC)OCC)C(O1)SP(=S)(OCC)OCC
106,TR126,-1,-1,-1,-1,c1cc(N)cc(C)c1N
107,TR127,1,1,0,1,c1c(N)c(OC)ccc1[N+](=O)[O-]
108,TR128,-1,1,-1,1,c1(ccc(N=C=O)c(c1)OC)c2ccc(N=C=O)c(OC)c2
109,TR129,-1,1,-1,-1,C(=S)(NC)N(C)C
110,TR130,-1,1,-1,1,c1ccccc1N
111,TR131a,-1,-1,-1,-1,C(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
112,TR131c,-1,-1,-1,0,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
113,TR133,-1,-1,1,-1,c1c(ccc(OCC)c1[N+](=O)[O-])NC(=O)C
114,TR134,-1,-1,1,-1,O=C1c2ccccc2c3ccc4C(=O)c5ccccc5c6ccc1c3c46
115,TR135,-1,-1,-1,-1,C(CC(=O)OCC)(SP(=O)(OC)OC)C(=O)OCC
116,TR136,-1,-1,-1,-1,C(C)(C)(SC)C=NOC(=O)NC
117,TR137,-1,-1,-1,-1,O(c1cc(C)nc(n1)C(C)C)P(=S)(OCC)OCC
118,TR138,-1,-1,-1,-1,S(=O)(=O)(NC1=C(C)C(C)=NO1)c2ccc(N)cc2
119,TR139,-1,-1,-1,-1,[Sn](O)(c1ccccc1)(c2ccccc2)c3ccccc3
120,TR140,-1,1,-1,1,O1CC(C)(C)C1=O
121,TR141,-1,-1,-1,-1,O=C1CC(C)=NN1c2ccccc2
122,TR142,1,1,1,1,O(C)c1ccc(C)cc1N
123,TR143,1,1,1,-1,Nc1cccc2c(N)cccc12
124,TR144,1,0,1,1,O=C1c2ccccc2C(=O)c3ccc(N)cc13
125,TR145,-1,-1,-1,-1,c1cc(C)c(Cl)cc1N
126,TR147,-1,-1,-1,-1,O=C(NC)Oc1cc(C)c(N(C)C)c(C)c1
127,TR148,-1,-1,-1,-1,N(C(N)=S)c1ccccc1
128,TR149,-1,1,-1,1,C(=S)(NCC)NCC
129,TR150,-1,-1,-1,-1,C(C)(C)(C)c1cc(C)cc(c1O)C(C)(C)C
130,TR151,-1,-1,-1,-1,N(C)(C)C(=S)S[Pb]SC(=S)N(C)C
131,TR153,1,1,1,1,c1cccc(C)c1N
132,TR154,-1,1,-1,1,N(=Nc1ccccc1)c2ccccc2
133,TR155,1,-1,1,1,c1c(Cl)cc(Cl)c(O)c1Cl
134,TR157,-1,-1,-1,-1,S=P(OC)(OC)Oc1ccc(cc1)[N+](=O)[O-]
135,TR158,-1,-1,-1,-1,C(CCl)[N+](C)(C)C
136,TR159,-1,-1,-1,-1,c1ccc2C(=O)OC(=O)c2c1
137,TR160,1,1,0,1,c1c(N)c(C)cc(C)c1C
138,TR161,-1,-1,-1,-1,C(N)(=O)c1ccccc1C(N)=O
139,TR162,1,1,-1,1,c1cc(C)c(N)cc1N
140,TR163,-1,-1,-1,-1,N#CN=[Ca]
141,TR164,-1,1,-1,1,N(N=O)(c1ccccc1)c2ccccc2
142,TR165,1,-1,1,-1,Cc1cc(Cl)ccc1N
143,TR166,-1,-1,-1,-1,N(CC)(CC)C(=S)SSC(=S)N(CC)CC
144,TR168,-1,-1,-1,-1,c12ccccc1cccc2NCCN
145,TR169,1,-1,-1,-1,c1cc(N)c(cc1N)[N+](=O)[O-]
146,TR171,-1,-1,-1,-1,c1cc(OC)cc(c1N)OC
147,TR172,-1,-1,-1,-1,N(CC)(CC)C(=S)S[Na]
148,TR173,-1,-1,-1,-1,C(Br)(CC)(CC)C(=O)NC(N)=O
149,TR174,-1,-1,-1,-1,c1cc(N)ccc1N
150,TR175,-1,-1,-1,-1,C1CC2(C)C(CC1O)CCC3C2CCC4(C)C(CCC34)C(C)CCC(O)=O
151,TR177,-1,-1,-1,-1,N(C(C)=O)c1ccc(cc1)C(=O)CCl
152,TR178,-1,-1,-1,-1,C(Cl)c1ccccn1
153,TR179,-1,1,-1,-1,N(O)=C1C=CC(=NO)C=C1
154,TR180,-1,-1,-1,-1,[O-][N+](=O)c1ccc(N)c(N)c1
155,TR181,1,1,1,1,C(=O)(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C
156,TR183,-1,0,-1,-1,[Sn](CCCC)(CCCC)(OC(C)=O)OC(C)=O
157,TR184,1,-1,1,-1,c1cc(Cl)cc(Cl)c1Oc2ccc(cc2)[N+](=O)[O-]
158,TR185,-1,-1,0,-1,c1ccccc1C=C
159,TR186,1,1,0,1,C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C
160,TR187,1,-1,1,-1,Nc1cc(Cl)ccc1C
161,TR190,-1,-1,1,1,N(c1ccccc1)c2ccc(N=O)cc2
162,TR193,1,-1,1,1,c12cc(OC)ccc1C3=C(N2)C4CC5C(CN4CC3)CC(OC(=O)c6cc(OC)c(OC)c(OC)c6)C(OC)C5C(=O)OC
163,TR195,-1,-1,0,-1,O=C(Nc1cccc(c1)C(F)(F)F)N(C)C
164,TR196,1,-1,1,1,c1cccc(c1)C=CCOC(=O)c2ccccc2N
165,TR200,-1,-1,-1,-1,c1(N)cccc(N)c1C
166,TR203,-1,-1,-1,-1,c1cccc(c1)O
167,TR204,-1,-1,-1,-1,c1cccc(c1)C(O)C(=O)c2ccccc2
168,TR205,1,1,1,1,O(c1ccc(N)cc1)c2ccc(N)cc2
169,TR206,1,1,1,1,C(Br)(CBr)CCl
170,TR207,-1,1,-1,1,O=C(O[Na])C=C(Br)C(=O)c1ccc(OC)cc1
171,TR208,-1,-1,-1,-1,N(=Nc1c(O)ccc2cc(ccc12)S(=O)(=O)O[Na])c3ccc(cc3)S(=O)(=O)O[Na]
172,TR209,1,1,1,1,c12cc(Cl)c(Cl)cc1Oc3cc(Cl)c(Cl)cc3O2
173,TR210,1,1,1,1,C(Br)CBr
174,TR211,-1,-1,-1,-1,c1cccc(c1)N=Nc2c(O)ccc3cc(cc(c23)S(=O)(=O)O[Na])S(=O)(=O)O[Na]
175,TR212,1,-1,1,-1,O(CC(CC)CCCC)C(=O)CCCCC(=O)OCC(CC)CCCC
176,TR213,-1,1,-1,0,c1ccc(C(=O)OCCCC)c(c1)C(=O)OCc2ccccc2
177,TR214,-1,-1,-1,-1,O=C1CCCCCN1
178,TR215,-1,-1,-1,0,c1(ccc(O)cc1)C(C)(C)c2ccc(O)cc2
179,TR216,-1,-1,0,1,C(CCCCCCCN)CCC(=O)O
180,TR217,1,1,1,1,c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC
181,TR219,1,-1,1,-1,Nc1c(Cl)cc(N)cc1Cl
182,TR220,-1,-1,-1,-1,c1(ccc(N=Nc2cc(c3ccccc3c2O)S(=O)(=O)O[Na])c4ccccc14)S(=O)(=O)O[Na]
183,TR222,1,-1,-1,1,c1cc(ccc1NC(C)=O)N=Nc2cc(C)ccc2O
184,TR225,-1,0,-1,1,c1cc2ccccc2c(c1O)N=Nc3cc(C)c(Cl)cc3S(=O)(=O)O[Ba]OS(=O)(=O)c4cc(Cl)c(C)cc4N=Nc5c(O)ccc6ccccc56
185,TR226,-1,1,-1,1,N(=Nc1ccccc1)c2c(O)ccc3ccccc23
186,TR228,-1,-1,-1,-1,C(=C)(Cl)Cl
187,TR232,1,-1,1,0,C(Cl)(Cl)(Cl)C(Cl)Cl
188,TR233,1,-1,0,-1,c1(ccccc1)c2ccccc2N
189,TR234,-1,0,-1,1,C=CCN=C=S
190,TR235,1,-1,1,-1,c1c(O)cc2C=CCCCC(=O)CCCC(C)OC(=O)c2c1O
191,TR236,-1,-1,-1,-1,C(O)(C(O)CO)C(O)C(O)CO
192,TR237,1,-1,1,0,C(Cl)C(Cl)(Cl)Cl
193,TR240,-1,-1,0,0,c1(O)cc(cc(O)c1O)C(=O)OCCC
194,TR243,1,-1,1,0,C(Cl)=C(Cl)Cl
195,TR245,-1,-1,-1,1,Nc1nc(N)nc(N)n1
196,TR247,-1,-1,-1,-1,C1(O)=C(O)C(=O)OC1C(O)CO
197,TR248,1,1,1,1,C(c1ccc(N)cc1)c2ccc(N)cc2
198,TR253,1,-1,-1,1,CC(C)CC(=O)OCC=C
