,molid,carcinogenic_FM,carcinogenic_FR,carcinogenic_MM,carcinogenic_MR,smiles
199,TR255,-1,-1,-1,-1,c1cccc(Cl)c1Cl
200,TR257,1,1,1,1,O(CC1CO1)c2cccc(c2)OCC3CO3
201,TR259,1,1,1,1,C(=O)(C=C)OCC
202,TR261,-1,-1,-1,0,c1ccccc1Cl
203,TR263,1,0,1,-1,C(C)(Cl)CCl
204,TR266,-1,-1,-1,1,N(C(=O)N(C)C)c1ccc(Cl)cc1
205,TR267,1,1,1,1,CC1CO1
206,TR269,1,1,0,1,C(CCl)=CCl
207,TR271,1,1,1,0,c1(cc(ccc1NC)N(CCO)CCO)[N+](=O)[O-]
208,TR272,-1,-1,-1,-1,C=CC
209,TR274,1,-1,-1,0,P(=O)(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC
210,TR275,-1,-1,-1,-1,C(Cl)CO
211,TR276,-1,-1,-1,-1,c1cc(O)c2ncccc2c1
212,TR282,1,-1,0,-1,ClC(Br)Br
213,TR285,1,1,1,1,C(=C1C=CC(=N)C=C1)(c2ccc(N)cc2)c3ccc(N)cc3
214,TR287,-1,0,-1,1,O=P([H])(OC)OC
215,TR289,1,1,1,1,c1ccccc1
216,TR291,-1,-1,0,1,CC1(C)CC(C)=CC(=O)C1
217,TR293,-1,-1,-1,-1,c1cc(NCCO)c(cc1N(CCO)CCO)[N+](=O)[O-]
218,TR298,-1,1,-1,1,P(=O)(OC)(OC)N1CCOCC1
219,TR299,-1,1,0,1,O=C1c2c(N)ccc(N)c2C(=O)c3c(N)ccc(N)c13
220,TR300,1,1,1,1,C(C)(=C)CCl
221,TR303,1,0,0,0,C(=C)C1CCC=CC1
222,TR304,-1,1,1,1,ClC12C(Cl)=C(Cl)C(Cl)(C(C(=O)O)C1C(=O)O)C2(Cl)Cl
223,TR306,1,1,1,1,C(Cl)Cl
224,TR307,-1,-1,-1,-1,c1ccccc1C(O)C(C)NC
225,TR308,1,1,1,1,C(Cl)CC(Cl)CC(Cl)CCC(Cl)CC(Cl)CC
226,TR309,-1,1,0,1,O(c1c(Br)c(Br)c(Br)c(Br)c1Br)c2c(Br)c(Br)c(Br)c(Br)c2Br
227,TR311,1,1,1,1,C(Cl)(Cl)=C(Cl)Cl
228,TR312,-1,-1,-1,-1,ClCCCC
229,TR314,-1,-1,-1,-1,C=C(C)C(=O)OC
230,TR315,-1,0,-1,0,OC12C(=O)C(C(N)=O)=C(O)C(N(C)C)C1C(O)C3C(=C2O)C(=O)c4c(O)cccc4C3(C)O
231,TR316,1,1,1,1,C(Cl)=C(C)C
232,TR318,-1,-1,-1,0,c1cccc(c1)C(N)C(=O)NC2C(=O)N3C2SC(C)(C)C3C(O)=O
233,TR319,1,-1,1,1,c1cc(Cl)ccc1Cl
234,TR320,-1,-1,-1,0,O=C1c2ccc3OC(Cc3c2OC4COc5cc(OC)c(OC)cc5C14)C(C)=C
235,TR321,1,1,1,1,C(Br)(Cl)Cl
236,TR322,-1,-1,-1,-1,c1(O)cccc(c1)C(O)CNC
237,TR323,-1,-1,0,1,P(C)(=O)(OC)OC
238,TR328,-1,1,-1,1,C(N)(=O)OC
239,TR329,-1,0,-1,1,C(C)C1CO1
240,TR330,-1,-1,0,-1,C(CCCCC)c1ccc(O)cc1O
241,TR331,-1,1,-1,1,C(O[Na])=CC=O
242,TR334,-1,-1,-1,1,[O-][N+](=O)c1ccc(N)c(O)c1
243,TR335,-1,1,-1,-1,c1cccc(c1)Nc2ccc(Nc3ccc(cc3[N+](=O)[O-])[N+](=O)[O-])cc2S(=O)(=O)O[Na]
244,TR336,-1,-1,-1,-1,O(CC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O[K])c3ccccc3
245,TR337,1,1,-1,0,[O-][N+](=O)C1=CC=C(C=NNC(N)=O)O1
246,TR339,-1,-1,-1,1,[O-][N+](=O)c1ccc(O)c(N)c1
247,TR341,1,-1,-1,1,N(=CC1=CC=C(O1)[N+](=O)[O-])N2CC(=O)NC2=O
248,TR342,1,0,1,1,P(=O)(OC)(OC)OC=C(Cl)Cl
249,TR343,-1,-1,-1,-1,c1ccccc1CO
250,TR344,-1,-1,-1,-1,c1cc(O)c2C(=O)C3=C(O)C4(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C4CC3C(C)(O)c2c1
251,TR345,-1,-1,-1,0,[O-][N+](=O)c1cc(ccc1O)[As](=O)(O)O
252,TR346,1,0,0,0,C(Cl)C
253,TR347,-1,-1,-1,1,C1(C)=CCC(CC1)C(=C)C
254,TR348,-1,-1,0,-1,C(O)(=O)C(C)(N)Cc1ccc(O)c(O)c1
255,TR350,-1,1,-1,1,C(Br)(Br)Br
256,TR351,-1,0,1,1,c1cc(Cl)ccc1N
257,TR352,1,-1,1,-1,C(=O)(C=C)NCO
258,TR353,-1,-1,-1,-1,c1(Cl)cc(Cl)ccc1O
259,TR354,-1,-1,0,-1,C1(C)OC(C)OC(C1)OC(C)=O
260,TR355,-1,0,-1,0,O(CCN(C)C)C(c1ccccc1)c2ccccc2
261,TR356,1,-1,-1,0,C(=O)(O)c1cc(c(Cl)cc1NCC2=CC=CO2)S(N)(=O)=O
262,TR357,-1,-1,0,-1,O=S1(=O)NCNc2cc(Cl)c(cc12)S(N)(=O)=O
263,TR362,1,1,1,1,C12OC1CCC(C2)C3CO3
264,TR363,1,0,0,1,CCBr
265,TR364,-1,0,-1,0,c12cc(NCC)c(C)cc1C(=C3C=C(C)C(=NCC)C=C3O2)c4ccccc4C(=O)OCC
266,TR365,-1,0,-1,0,C(O[N+](=O)[O-])C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
267,TR366,1,1,-1,1,c1cc(O)ccc1O
268,TR367,-1,1,1,0,O=C1C(CCCC)C(=O)N(c2ccccc2)N1c3ccccc3
269,TR368,-1,1,0,1,C(C)N1C=C(C(=O)O)C(=O)c2ccc(C)nc12
270,TR369,-1,-1,-1,1,C(C)(O)c1ccccc1
271,TR370,1,1,1,-1,c1ccc2C=COc2c1
272,TR371,-1,-1,-1,-1,c1ccccc1C
273,TR373,-1,-1,-1,-1,C1CC(=O)OC1=O
274,TR374,1,1,1,1,C(O)C1CO1
275,TR377,-1,-1,-1,-1,C(=C(C#N)C#N)c1ccccc1Cl
276,TR378,1,-1,1,-1,c1ccccc1C=O
277,TR379,-1,0,-1,-1,c1cccc(c1)C(=O)CCl
278,TR382,1,-1,1,1,C1=CC=C(O1)C=O
279,TR383,1,1,1,1,O=C1c2ccccc2C(=O)c3c(Br)cc(Br)c(N)c13
280,TR384,1,1,1,1,C(Cl)(CCl)CCl
281,TR386,1,1,1,1,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
282,TR387,-1,-1,-1,-1,CC(N)Cc1ccccc1
283,TR388,1,1,1,1,C1CNC(N1)=S
284,TR394,-1,0,-1,-1,c1cc(O)ccc1NC(=O)C
285,TR395,1,-1,-1,-1,S(=O)(=O)(N(CCC)CCC)c1ccc(cc1)C(=O)O
286,TR396,-1,-1,-1,-1,C(Cl)C(O)=O
287,TR398,1,1,1,1,c1(cc(Br)cc(Br)c1Br)c2cc(Br)cc(Br)c2Br
288,TR400,1,1,1,1,C(Br)(CBr)CO
289,TR401,-1,-1,1,-1,c1cc(N)cc(N)c1O
290,TR402,1,1,1,1,C1=CC=CO1
291,TR403,-1,-1,-1,-1,c1ccc(O)cc1O
292,TR404,1,-1,-1,0,C1(NC(=O)NC1=O)(c2ccccc2)c3ccccc3
293,TR406,-1,-1,0,-1,O=C1CCCO1
294,TR407,-1,1,1,1,N(=Nc1ccc(C)cc1[N+](=O)[O-])c2c(O)ccc3ccccc23
295,TR411,-1,-1,-1,0,c1c2ccccc2c(N=Nc3cc(ccc3OC)[N+](=O)[O-])c(O)c1C(=O)Nc4cccc(c4)[N+](=O)[O-]
296,TR412,-1,-1,-1,-1,C(=Cc1ccc(N)cc1S(=O)(=O)O[Na])c2ccc(N)cc2S(=O)(=O)O[Na]
297,TR414,-1,0,1,1,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1OC
298,TR416,1,1,1,1,O(C)c1ccccc1[N+](=O)[O-]
299,TR419,-1,-1,-1,0,c1(ccc(c(c1)O)N(CCO)CCO)[N+](=O)[O-]
300,TR420,1,-1,1,0,Nc1nc(N)nc2nc(N)c(nc12)c3ccccc3
301,TR422,1,0,1,1,c1ccc2C=CC(=O)Oc2c1
302,TR423,1,-1,-1,1,O=C1CCc2ccccc2O1
303,TR424,-1,0,1,-1,c1cc(O)c(cc1Cl)Cc2ccccc2
304,TR425,-1,-1,-1,-1,C(C(C)N(C)C)N1c2ccccc2Sc3ccccc13
305,TR430,1,-1,1,1,c12c(N)cc(cc1cc(c3c2O[Cu]Oc4cc(ccc4N=N3)c5ccc6N=Nc7c(O[Cu]Oc6c5)c8c(N)cc(cc8cc7S(=O)(=O)O[Na])S(=O)(=O)O[Na])S(=O)(=O)O[Na])S(=O)(=O)O[Na]
306,TR431,-1,-1,-1,-1,CC(=O)OCc1ccccc1
307,TR433,-1,-1,-1,-1,O=P(Oc1ccccc1C)(Oc2ccccc2C)Oc3ccccc3C
308,TR435,-1,-1,-1,-1,C(C)(C)(C)c1cc(Sc2cc(c(O)cc2C)C(C)(C)C)c(C)cc1O
309,TR436,1,-1,0,1,OC(C)(C)C
310,TR437,-1,-1,-1,-1,ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
311,TR438,-1,-1,-1,-1,C(C)(C)(CC(C)(C)C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
312,TR439,1,-1,1,-1,C(C(=O)OC)(c1ccccc1)C2CCCCN2
313,TR442,-1,1,-1,-1,c1cc(ccc1C(O)=O)[N+](=O)[O-]
314,TR445,-1,-1,-1,-1,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C4OC24
315,TR447,-1,-1,-1,0,C(C)#N
316,TR448,1,1,1,1,C(C)(C)CON=O
317,TR450,1,1,1,1,C(F)(F)=C(F)F
318,TR452,1,1,1,1,C(CBr)(CBr)(CO)CO
319,TR455,-1,-1,-1,-1,c12c3ccc(OC)c1OC4C(O)C=CC5C(C3)N(C)CCC245
320,TR456,-1,-1,-1,1,CC1=CC(C)(C)Nc2ccccc12
321,TR457,1,1,1,1,S(=O)(=O)(Nc1ccccn1)c2ccc(cc2)N=Nc3ccc(O)c(c3)C(=O)O
322,TR459,-1,-1,-1,-1,C(C)(C)(C)c1cc(O)ccc1O
323,TR461,1,1,1,-1,C[N+](=O)[O-]
324,TR464,-1,-1,-1,-1,c1(C)cc(C)cc(c1)S(=O)(=O)O[Na]
325,TR465,1,1,1,1,C1(OC(=O)c2c1cccc2)(c3ccc(O)cc3)c4ccc(O)cc4
326,TR466,1,1,1,1,C(C)c1ccccc1
327,TR467,1,1,1,1,C=C(Cl)C=C
328,TR470,1,0,1,1,c1cnccc1
329,TR472,-1,-1,-1,-1,C(C)(C)C=O
330,TR473,-1,-1,-1,-1,O=C1N(C)C(=O)N(C)C2=C1N=CN2
331,TR474,-1,0,0,0,C(=C)O
332,TR475,1,-1,-1,1,C1CCOC1
333,TR476,1,-1,1,0,C1(=O)NCNC(=O)C1(CC)c2ccccc2
334,TR477,-1,-1,-1,-1,C(C)(O)CCl
335,TR478,1,-1,1,-1,N(CCO)CCO
336,TR480,1,-1,-1,-1,CCCCCCCCCCCCN(CCO)CCO
337,TR481,-1,-1,-1,-1,C(CCCCCCC)C=CCCCCCCCC(=O)N(CC)CC
338,TR482,-1,0,1,1,C(O)C1=CC=CO1
339,TR484,1,0,1,-1,CCCCOCCO
340,TR487,-1,-1,-1,1,C=C(C)C
341,TR490,-1,-1,-1,-1,C(=O)CCCC=O
342,TR491,1,1,1,1,O(C)c1cc(CC=C)ccc1OC
343,TR493,-1,0,0,-1,c12c(O)cc(O)cc1C(=O)c3cc(C)cc(O)c3C2=O
344,TR494,1,1,1,1,c12ccccc1C(=O)c3ccccc3C2=O
345,TR496,1,-1,-1,1,C(O)(=O)CC(CC(=O)OC(C(C)CCCC)C(CC(C)CC(O)CCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(O)=O)C(O)=O)C(O)=O
346,TR499,1,1,1,1,[In]#P
347,TR501,-1,-1,-1,-1,S(=O)(=O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
348,TR005,0,-1,0,0,c1cc2cc3ccc(N)cc3nc2cc1N
349,TR022,0,-1,0,-1,C12(Cl)C(Cl)=C(Cl)C(Cl)(C1(Cl)Cl)C3C2C4CC3C5OC45
350,TR039,0,1,0,1,C(OC(=O)C(O)(C(C)OC)C(C)(C)O)C1=CCN2CCC(OC(=O)C(C)=CC)C12
351,TR040,0,-1,0,-1,C(c1c(Cl)c(Cl)cc(Cl)c1O)c2c(Cl)c(Cl)cc(Cl)c2O
352,TR048,0,-1,-1,-1,C(N)(=O)c1nccnc1
353,TR049,0,1,0,1,N1(C)c2ccccc2C(=O)c3c1c4C=CC(C)(C)Oc4cc3OC
354,TR057,0,1,0,0,n1c(N)nc2c(c1S)N=CN2C3CC(O)C(CO)O3
355,TR073,0,-1,0,-1,C(=C)CCl
356,TR131b,0,-1,1,-1,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
357,TR132,0,-1,-1,-1,N(NC(N)=S)C(N)=S
358,TR146,0,1,1,-1,C1=C(SC(=N1)NC(=O)NCC)[N+](=O)[O-]
359,TR152,0,-1,0,0,C(=S)(S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC)N(CC)CC
360,TR156,0,-1,-1,-1,C(Cl)(Cl)C(c1ccc(CC)cc1)c2ccc(CC)cc2
361,TR189,0,-1,0,0,Clc1ccc(N)cc1
362,TR191,0,-1,0,-1,O(C(C)CCl)C(C)CCl
363,TR192,0,-1,0,-1,C(CC(=O)OCC)(SP(=S)(OC)OC)C(=O)OCC
364,TR223,0,-1,0,-1,c1cc(CC=C)cc(c1O)OC
365,TR238,0,-1,-1,1,N(C)(C)C(=S)S[Zn]SC(=S)N(C)C
366,TR278,0,1,0,1,Nc1c(C)cccc1C
367,TR281,0,-1,0,-1,c1cc(NCCO)c(cc1N)[N+](=O)[O-]
368,TR313,0,1,0,1,C12(Cl)C3(Cl)C(Cl)(Cl)C4(Cl)C1(Cl)C5(Cl)C(Cl)(Cl)C2(Cl)C3(Cl)C45Cl
369,TR332,0,1,-1,1,SC1=Nc2ccccc2S1
370,TR333,0,-1,-1,-1,N(c1ccccc1)c2ccc3ccccc3c2
371,TR358,0,1,0,1,Clc1cc(C(=O)NC(Cc2ccccc2)C(=O)O)c(O)c3C(=O)OC(C)Cc13
372,TR359,0,-1,0,1,O(C)c1c2OC=Cc2cc3C=CC(=O)Oc13
373,TR360,0,-1,-1,1,c1ccccc1N(C)C
374,TR361,0,-1,0,1,C(Cl)(Cl)(Cl)C(Cl)(Cl)Cl
375,TR372,0,1,0,1,c1(ccc(N)c(c1)OC)c2ccc(N)c(OC)c2
376,TR376,0,-1,1,0,C(OCC=C)C1CO1
377,TR389,0,-1,0,-1,[Na][N-]=[N+]=[N-]
378,TR390,0,1,0,1,c1(ccc(N)c(c1)C)c2ccc(N)c(C)c2
379,TR391,0,1,0,1,P(=O)(OCCCl)(OCCCl)OCCCl
380,TR397,0,1,0,1,Oc1c(N=Nc2ccc(cc2OC)c3ccc(N=Nc4c(O)c5c(N)cc(cc5cc4S(=O)(=O)O[Na])S(=O)(=O)O[Na])c(OC)c3)c(cc6cc(cc(N)c16)S(=O)(=O)O[Na])S(=O)(=O)O[Na]
381,TR405,0,1,0,1,Cc1ccc(cc1)S(=O)(=O)Oc2ccc(cc2)N=Nc3ccc(cc3C)c4ccc(N=Nc5c(O)ccc6cc(cc(c56)S(=O)(=O)O[Na])S(=O)(=O)O[Na])c(C)c4
382,TR409,0,-1,0,1,c12c(O)cc(O)cc1OC(=C(O)C2=O)c3ccc(O)c(O)c3
383,TR446,0,-1,0,-1,CC1=CC2c3c(O)cc(CCCCC)cc3OC(C)(C)C2CC1
384,TR449,0,-1,0,0,N(CCO)(CCO)CCO
385,TR463,0,1,0,1,c1cccc2c1ccc(n2)C3C(=O)c4ccccc4C3=O
386,TR468,0,-1,0,0,Clc1ccc2NC(=O)C(O)N=C(c3ccccc3)c2c1
387,TR483,0,-1,0,1,c1(Cl)c(O)c(Cl)c(Cl)c(Cl)c1Cl
388,TR485,0,1,0,0,C1(=CO)CC2(C)C(CC1=O)CCC3C2CCC4(C)C3CCC4(O)C
389,TR486,0,1,0,1,C=C(C)C=C
390,TR495,0,-1,-1,-1,O=NO[Na]
391,TR066,0,0,-1,-1,C(C)(Cl)Cl
392,TR088,0,0,-1,0,c1ccc2N=NNc2c1
393,TR288,0,0,1,0,C=CC=C
394,TR305,0,0,1,-1,CC(Cl)C(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCCCl
395,TR324,0,0,-1,0,OB(O)O
396,TR325,0,0,-1,0,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
397,TR326,0,0,1,0,C1CO1
398,TR381,0,0,-1,0,C1C(=O)C(C)=CCC1C(=C)C
399,TR385,0,0,-1,0,BrC
400,TR410,0,0,-1,0,c12ccccc1cccc2
401,TR413,0,0,-1,0,OCCO
402,TR417,0,0,-1,0,c1cc(O)ccc1[N+](=O)[O-]
403,TR434,0,0,1,0,C=CC=C
404,TR443,0,0,1,0,Clc1ccc2NC(=O)C(O)N=C(c3ccccc3)c2c1
405,TR284,0,0,0,-1,C(=O)(OCC=C)c1ccccc1C(=O)OCC=C
406,TR427,0,0,0,-1,C(C(=O)C=Cc1ccc(O)c(OC)c1)C(=O)C=Cc2ccc(O)c(OC)c2
407,TR458,0,0,0,1,c1ccc(C(=O)OCCCC)c(c1)C(=O)OCc2ccccc2
