"Date","State","Sector","Mode","Installed Capacity"
"19-12-2018","Andaman & Nicobar Islands","STATE SECTOR","Thermal","40.048"
"19-12-2018","Andaman & Nicobar Islands","STATE SECTOR","Nuclear","0"
"19-12-2018","Andaman & Nicobar Islands","STATE SECTOR","Hydro","0"
"19-12-2018","Andaman & Nicobar Islands","STATE SECTOR","RES","5.25"
"19-12-2018","Andaman & Nicobar Islands","PVT SECTOR","Thermal","0"
"19-12-2018","Andaman & Nicobar Islands","PVT SECTOR","Nuclear","0"
"19-12-2018","Andaman & Nicobar Islands","PVT SECTOR","Hydro","0"
"19-12-2018","Andaman & Nicobar Islands","PVT SECTOR","RES","1.46"
"19-12-2018","Andaman & Nicobar Islands","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Andaman & Nicobar Islands","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Andaman & Nicobar Islands","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Andaman & Nicobar Islands","CENTRAL SECTOR","RES","5.1"
"19-12-2018","Andhra Pradesh","STATE SECTOR","Thermal","5245.4"
"19-12-2018","Andhra Pradesh","STATE SECTOR","Nuclear","0"
"19-12-2018","Andhra Pradesh","STATE SECTOR","Hydro","1610"
"19-12-2018","Andhra Pradesh","STATE SECTOR","RES","48.75"
"19-12-2018","Andhra Pradesh","PVT SECTOR","Thermal","9261.8"
"19-12-2018","Andhra Pradesh","PVT SECTOR","Nuclear","0"
"19-12-2018","Andhra Pradesh","PVT SECTOR","Hydro","0"
"19-12-2018","Andhra Pradesh","PVT SECTOR","RES","6930.73"
"19-12-2018","Andhra Pradesh","CENTRAL SECTOR","Thermal","2000"
"19-12-2018","Andhra Pradesh","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Andhra Pradesh","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Andhra Pradesh","CENTRAL SECTOR","RES","250"
"19-12-2018","Arunachal Pradesh","STATE SECTOR","Thermal","0"
"19-12-2018","Arunachal Pradesh","STATE SECTOR","Nuclear","0"
"19-12-2018","Arunachal Pradesh","STATE SECTOR","Hydro","0"
"19-12-2018","Arunachal Pradesh","STATE SECTOR","RES","107.1"
"19-12-2018","Arunachal Pradesh","PVT SECTOR","Thermal","0"
"19-12-2018","Arunachal Pradesh","PVT SECTOR","Nuclear","0"
"19-12-2018","Arunachal Pradesh","PVT SECTOR","Hydro","0"
"19-12-2018","Arunachal Pradesh","PVT SECTOR","RES","5.39"
"19-12-2018","Arunachal Pradesh","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Arunachal Pradesh","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Arunachal Pradesh","CENTRAL SECTOR","Hydro","515"
"19-12-2018","Arunachal Pradesh","CENTRAL SECTOR","RES","0"
"19-12-2018","Assam","STATE SECTOR","Thermal","328.205"
"19-12-2018","Assam","STATE SECTOR","Nuclear","0"
"19-12-2018","Assam","STATE SECTOR","Hydro","100"
"19-12-2018","Assam","STATE SECTOR","RES","5.01"
"19-12-2018","Assam","PVT SECTOR","Thermal","24.5"
"19-12-2018","Assam","PVT SECTOR","Nuclear","0"
"19-12-2018","Assam","PVT SECTOR","Hydro","0"
"19-12-2018","Assam","PVT SECTOR","RES","16.8"
"19-12-2018","Assam","CENTRAL SECTOR","Thermal","791"
"19-12-2018","Assam","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Assam","CENTRAL SECTOR","Hydro","250"
"19-12-2018","Assam","CENTRAL SECTOR","RES","25"
"19-12-2018","Bihar","STATE SECTOR","Thermal","710"
"19-12-2018","Bihar","STATE SECTOR","Nuclear","0"
"19-12-2018","Bihar","STATE SECTOR","Hydro","0"
"19-12-2018","Bihar","STATE SECTOR","RES","70.7"
"19-12-2018","Bihar","PVT SECTOR","Thermal","0"
"19-12-2018","Bihar","PVT SECTOR","Nuclear","0"
"19-12-2018","Bihar","PVT SECTOR","Hydro","0"
"19-12-2018","Bihar","PVT SECTOR","RES","255.45"
"19-12-2018","Bihar","CENTRAL SECTOR","Thermal","4770"
"19-12-2018","Bihar","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Bihar","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Bihar","CENTRAL SECTOR","RES","0"
"19-12-2018","Chandigarh","STATE SECTOR","Thermal","0"
"19-12-2018","Chandigarh","STATE SECTOR","Nuclear","0"
"19-12-2018","Chandigarh","STATE SECTOR","Hydro","0"
"19-12-2018","Chandigarh","STATE SECTOR","RES","0"
"19-12-2018","Chandigarh","PVT SECTOR","Thermal","0"
"19-12-2018","Chandigarh","PVT SECTOR","Nuclear","0"
"19-12-2018","Chandigarh","PVT SECTOR","Hydro","0"
"19-12-2018","Chandigarh","PVT SECTOR","RES","30.35"
"19-12-2018","Chandigarh","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Chandigarh","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Chandigarh","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Chandigarh","CENTRAL SECTOR","RES","0"
"19-12-2018","Chhatisgarh","STATE SECTOR","Thermal","3280"
"19-12-2018","Chhatisgarh","STATE SECTOR","Nuclear","0"
"19-12-2018","Chhatisgarh","STATE SECTOR","Hydro","120"
"19-12-2018","Chhatisgarh","STATE SECTOR","RES","11.05"
"19-12-2018","Chhatisgarh","PVT SECTOR","Thermal","12808"
"19-12-2018","Chhatisgarh","PVT SECTOR","Nuclear","0"
"19-12-2018","Chhatisgarh","PVT SECTOR","Hydro","0"
"19-12-2018","Chhatisgarh","PVT SECTOR","RES","524.3"
"19-12-2018","Chhatisgarh","CENTRAL SECTOR","Thermal","6880"
"19-12-2018","Chhatisgarh","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Chhatisgarh","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Chhatisgarh","CENTRAL SECTOR","RES","0"
"19-12-2018","Dadra & Nagar Haveli","STATE SECTOR","Thermal","0"
"19-12-2018","Dadra & Nagar Haveli","STATE SECTOR","Nuclear","0"
"19-12-2018","Dadra & Nagar Haveli","STATE SECTOR","Hydro","0"
"19-12-2018","Dadra & Nagar Haveli","STATE SECTOR","RES","0"
"19-12-2018","Dadra & Nagar Haveli","PVT SECTOR","Thermal","0"
"19-12-2018","Dadra & Nagar Haveli","PVT SECTOR","Nuclear","0"
"19-12-2018","Dadra & Nagar Haveli","PVT SECTOR","Hydro","0"
"19-12-2018","Dadra & Nagar Haveli","PVT SECTOR","RES","5.46"
"19-12-2018","Dadra & Nagar Haveli","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Dadra & Nagar Haveli","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Dadra & Nagar Haveli","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Dadra & Nagar Haveli","CENTRAL SECTOR","RES","0"
"19-12-2018","Daman & Diu","STATE SECTOR","Thermal","0"
"19-12-2018","Daman & Diu","STATE SECTOR","Nuclear","0"
"19-12-2018","Daman & Diu","STATE SECTOR","Hydro","0"
"19-12-2018","Daman & Diu","STATE SECTOR","RES","0"
"19-12-2018","Daman & Diu","PVT SECTOR","Thermal","0"
"19-12-2018","Daman & Diu","PVT SECTOR","Nuclear","0"
"19-12-2018","Daman & Diu","PVT SECTOR","Hydro","0"
"19-12-2018","Daman & Diu","PVT SECTOR","RES","13.01"
"19-12-2018","Daman & Diu","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Daman & Diu","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Daman & Diu","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Daman & Diu","CENTRAL SECTOR","RES","0"
"19-12-2018","Delhi","STATE SECTOR","Thermal","2235.4"
"19-12-2018","Delhi","STATE SECTOR","Nuclear","0"
"19-12-2018","Delhi","STATE SECTOR","Hydro","0"
"19-12-2018","Delhi","STATE SECTOR","RES","0"
"19-12-2018","Delhi","PVT SECTOR","Thermal","108"
"19-12-2018","Delhi","PVT SECTOR","Nuclear","0"
"19-12-2018","Delhi","PVT SECTOR","Hydro","0"
"19-12-2018","Delhi","PVT SECTOR","RES","121.57"
"19-12-2018","Goa","STATE SECTOR","Thermal","0"
"19-12-2018","Goa","STATE SECTOR","Nuclear","0"
"19-12-2018","Goa","STATE SECTOR","Hydro","0"
"19-12-2018","Goa","STATE SECTOR","RES","0.05"
"19-12-2018","Goa","PVT SECTOR","Thermal","48"
"19-12-2018","Goa","PVT SECTOR","Nuclear","0"
"19-12-2018","Goa","PVT SECTOR","Hydro","0"
"19-12-2018","Goa","PVT SECTOR","RES","0.91"
"19-12-2018","Goa","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Goa","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Goa","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Goa","CENTRAL SECTOR","RES","0"
"19-12-2018","Gujarat","STATE SECTOR","Thermal","6927.82"
"19-12-2018","Gujarat","STATE SECTOR","Nuclear","0"
"19-12-2018","Gujarat","STATE SECTOR","Hydro","1990"
"19-12-2018","Gujarat","STATE SECTOR","RES","8"
"19-12-2018","Gujarat","PVT SECTOR","Thermal","14802"
"19-12-2018","Gujarat","PVT SECTOR","Nuclear","0"
"19-12-2018","Gujarat","PVT SECTOR","Hydro","0"
"19-12-2018","Gujarat","PVT SECTOR","RES","7297.82"
"19-12-2018","Gujarat","CENTRAL SECTOR","Thermal","1313.59"
"19-12-2018","Gujarat","CENTRAL SECTOR","Nuclear","440"
"19-12-2018","Gujarat","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Gujarat","CENTRAL SECTOR","RES","238.3"
"19-12-2018","Haryana","STATE SECTOR","Thermal","2720"
"19-12-2018","Haryana","STATE SECTOR","Nuclear","0"
"19-12-2018","Haryana","STATE SECTOR","Hydro","0"
"19-12-2018","Haryana","STATE SECTOR","RES","59.3"
"19-12-2018","Haryana","PVT SECTOR","Thermal","1320"
"19-12-2018","Haryana","PVT SECTOR","Nuclear","0"
"19-12-2018","Haryana","PVT SECTOR","Hydro","0"
"19-12-2018","Haryana","PVT SECTOR","RES","347.45"
"19-12-2018","Haryana","CENTRAL SECTOR","Thermal","1931.59"
"19-12-2018","Haryana","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Haryana","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Haryana","CENTRAL SECTOR","RES","5"
"19-12-2018","Himachal Pradesh","STATE SECTOR","Thermal","0"
"19-12-2018","Himachal Pradesh","STATE SECTOR","Nuclear","0"
"19-12-2018","Himachal Pradesh","STATE SECTOR","Hydro","3542"
"19-12-2018","Himachal Pradesh","STATE SECTOR","RES","256.61"
"19-12-2018","Himachal Pradesh","PVT SECTOR","Thermal","0"
"19-12-2018","Himachal Pradesh","PVT SECTOR","Nuclear","0"
"19-12-2018","Himachal Pradesh","PVT SECTOR","Hydro","1784"
"19-12-2018","Himachal Pradesh","PVT SECTOR","RES","605.36"
"19-12-2018","Himachal Pradesh","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Himachal Pradesh","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Himachal Pradesh","CENTRAL SECTOR","Hydro","4483.02"
"19-12-2018","Himachal Pradesh","CENTRAL SECTOR","RES","0"
"19-12-2018","Jammu and Kashmir","STATE SECTOR","Thermal","175"
"19-12-2018","Jammu and Kashmir","STATE SECTOR","Nuclear","0"
"19-12-2018","Jammu and Kashmir","STATE SECTOR","Hydro","1110"
"19-12-2018","Jammu and Kashmir","STATE SECTOR","RES","129.03"
"19-12-2018","Jammu and Kashmir","PVT SECTOR","Thermal","0"
"19-12-2018","Jammu and Kashmir","PVT SECTOR","Nuclear","0"
"19-12-2018","Jammu and Kashmir","PVT SECTOR","Hydro","0"
"19-12-2018","Jammu and Kashmir","PVT SECTOR","RES","59.85"
"19-12-2018","Jammu and Kashmir","CENTRAL SECTOR","Thermal","0"
"19-12-2018","Jammu and Kashmir","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Jammu and Kashmir","CENTRAL SECTOR","Hydro","2339"
"19-12-2018","Jammu and Kashmir","CENTRAL SECTOR","RES","0"
"19-12-2018","Jharkhand","STATE SECTOR","Thermal","420"
"19-12-2018","Jharkhand","STATE SECTOR","Nuclear","0"
"19-12-2018","Jharkhand","STATE SECTOR","Hydro","130"
"19-12-2018","Jharkhand","STATE SECTOR","RES","4.05"
"19-12-2018","Jharkhand","PVT SECTOR","Thermal","1830"
"19-12-2018","Jharkhand","PVT SECTOR","Nuclear","0"
"19-12-2018","Jharkhand","PVT SECTOR","Hydro","0"
"19-12-2018","Jharkhand","PVT SECTOR","RES","32.07"
"19-12-2018","Jharkhand","CENTRAL SECTOR","Thermal","2340"
"19-12-2018","Jharkhand","CENTRAL SECTOR","Nuclear","0"
"19-12-2018","Jharkhand","CENTRAL SECTOR","Hydro","80"
"19-12-2018","Jharkhand","CENTRAL SECTOR","RES","0"
"19-12-2018","Karnataka","STATE SECTOR","Thermal","5147.92"
"19-12-2018","Karnataka","STATE SECTOR","Nuclear","0"
"19-12-2018","Karnataka","STATE SECTOR","Hydro","3644.2"
"19-12-2018","Karnataka","STATE SECTOR","RES","155.33"
"19-12-2018","Karnataka","PVT SECTOR","Thermal","2085.2"
"19-12-2018","Karnataka","PVT SECTOR","Nuclear","0"
"19-12-2018","Karnataka","PVT SECTOR","Hydro","0"
"19-12-2018","Karnataka","PVT SECTOR","RES","12756.4"
"19-12-2018","Karnataka","CENTRAL SECTOR","Thermal","2400"
"19-12-2018","Karnataka","CENTRAL SECTOR","Nuclear","880"
"19-12-2018","Karnataka","CENTRAL SECTOR","Hydro","0"
"19-12-2018","Karnataka","CENTRAL SECTOR","RES","0"
"19-12-2018","Kerala","STATE SECTOR","Thermal","159.96"
"19-12-2018","Kerala","STATE SECTOR","Nuclear","0"
"19-12-2018","Kerala","STATE SECTOR","Hydro","1856.5"
"19-12-2018","Kerala","STATE SECTOR","RES","154.02"
"19-12-2018","Kerala","PVT SECTOR","Thermal","174"
"19-12-2018","Kerala","PVT SECTOR","Nuclear","0"
"19-12-2018","Kerala","PVT SECTOR","Hydro","0"
"19-12-2018","Kerala","PVT SECTOR","RES","208.99"
